parent,definition,children,translation,label,label1,label2,label3
lowering,the act of causing to become less,tapering,труб,0.0,,0.0,
bucket,a roughly cylindrical vessel that is open at the top,"cannikin,dinner pail,kibble,slop pail,wine bucket","канникин, ведро для ужина,киббл, ведро для нечистот, ведро для вина",1.0,,1.0,
touch,a slight but appreciable amount,snuff,snuff,0.0,,0.0,
detonator,a mechanical or electrical explosive device or a small amount of explosive; can be used to initiate the reaction of a disrupting explosive,blasting cap,дробеструйный колпачок,1.0,,1.0,
excess,immoderation as a consequence of going beyond sufficient or permitted limits,"exorbitance,extravagance","непомерность,экстравагантность",0.0,,0.0,
Atlantic salmon,found in northern coastal Atlantic waters or tributaries; adults do not die after spawning,landlocked salmon,не имеющий выхода к морю лосось,1.0,,1.0,
effortfulness,the quality of requiring deliberate effort,arduousness,трудность,0.0,,0.0,
ray,cartilaginous fishes having horizontally flattened bodies and enlarged winglike pectoral fins with gills on the underside; most swim by moving the pectoral fins,"electric ray,guitarfish","электрический луч,рыба-гитара",1.0,,1.0,
warrior,-,guerrilla,Партизанская война,0.0,,0.0,
hot pepper,any of various pungent capsicum fruits,tabasco,табаско,1.0,,1.0,
cell,a device that delivers an electric current as the result of a chemical reaction,"electrolytic cell,fuel cell,solar cell,storage cell","электролитический элемент,топливный элемент,солнечный элемент, элемент хранения",1.0,,1.0,
versicle,a short verse said or sung by a priest or minister in public worship and followed by a response from the congregation,sursum corda,sursum corda,1.0,,1.0,
tubule,a small tube,"microtubule,nephron,seminiferous tubule,trachea,uveoscleral pathway,vasa efferentia","микротрубочки,нефрон,семенные канальцы,трахея,увеосклеральный путь,vasa efferentia",1.0,,1.0,
lesson,a unit of instruction,"dance lesson,golf lesson,tennis lesson","урок танцев,гольфа,тенниса",0.0,,0.0,
tartaric acid,an acid found in many fruits; used in soft drinks and confectionery and baking powder,racemic acid,рацемическая кислота,1.0,,1.0,
Indian elephant,Asian elephant having smaller ears and tusks primarily in the male,white elephant,белый слон,1.0,,1.0,
niggard,a selfish person who is unwilling to give or spend,pinchgut,pinchgut,1.0,,1.0,
Saudi Arabian monetary unit,monetary unit in Saudi Arabia,qurush,qurush,1.0,,1.0,
ineligibility,the quality or state of being ineligible,uninsurability,неуязвимость,0.0,,0.0,
patriotism,love of country and willingness to sacrifice for it,"Americanism,chauvinism","Американизм,шовинизм",0.0,,0.0,
life jacket,life preserver consisting of a sleeveless jacket of buoyant or inflatable design,Mae West,Мэй-Уэст,1.0,,1.0,
headsail,any sail set forward of the foremast of a vessel,spinnaker,Spinnaker,1.0,,1.0,
headsail,any sail set forward of the foremast of a vessel,spinnaker,Spinnaker,1.0,,1.0,
family,a social unit living together,"broken home,nuclear family,extended family,foster family,foster home,menage a trois","разрушенный дом,нуклеарная семья,расширенная семья,приемная семья,приемный дом, управление троицей",0.0,,0.0,
bandage,-,oblique bandage,косая повязка,1.0,,1.0,
saying,-,idiom,идиома,0.0,,0.0,
adoption,the act of accepting with approval; favorable reception,embrace,заключать в себе,1.0,,1.0,
pincer,a hand tool for holding consisting of a compound lever for grasping,roach clip,зажим для тараканов,1.0,,1.0,
connective tissue,-,tendon,SUKHOZHILIIA,1.0,,1.0,
stinger,a sharp organ of offense or defense (as of a wasp or stingray or scorpion) often connected with a poison gland,aculeus,aculeus,1.0,,1.0,
news agency,an agency to collects news reports for newspapers and distributes it electronically,syndicate,синдикат; консорциум,0.0,,0.0,
ineligibility,the quality or state of being ineligible,uninsurability,неуязвимость,0.0,,0.0,
clock,-,pendulum clock,напольные часы,0.0,,0.0,
pubic hair,hair growing in the pubic area,minge,minge,0.0,,0.0,
bagel,(Yiddish) glazed yeast-raised doughnut-shaped roll with hard crust,onion bagel,бублик с луком,0.0,,0.0,
criticism,a written evaluation of a work of literature,"analysis,explication de texte,new criticism","анализ,экспликация de texte,новая критика",1.0,,1.0,
promise,grounds for feeling hopeful about the future,rainbow,радуга,0.0,,0.0,
antonym,"a word that expresses a meaning opposed to the meaning of another word, in which case the two words are antonyms of each other",direct antonym,прямой антоним,1.0,,1.0,
blood vessel,-,vein,вена,0.0,,0.0,
strike,a group's refusal to work in protest against low pay or bad work conditions,"sit-down,sympathy strike,walkout,wildcat strike","сидячая забастовка, забастовка сочувствия,забастовка, забастовка диких кошек",1.0,,1.0,
skin diving,underwater swimming without any more breathing equipment than a snorkel,"scuba diving,snorkeling",Дайвинг ($) / сноркелинг,1.0,,1.0,
medical care,-,therapy,терапия,0.0,,0.0,
field mouse,any nocturnal Old World mouse of the genus Apodemus inhabiting woods and fields and gardens,European wood mouse,Европейская деревянная мышь,1.0,,1.0,
pigmentation,coloration of living tissues by pigment,chromatism,хроматизм,1.0,,1.0,
social worker,someone employed to provide social services (especially to the disadvantaged),almoner,almoner,1.0,,1.0,
concreteness,the quality of being concrete (not abstract),literalness,буквальность,0.0,,0.0,
fog,an atmosphere in which visibility is reduced because of a cloud of some substance,fug,fug,0.0,,0.0,
radial asymmetry,the absence of symmetry about an axis,directivity,направленность,1.0,,1.0,
play,a preset plan of action in team sports,"knock on,power play,razzle-dazzle","стучаться,силовая игра,razzle-dazzle",1.0,,1.0,
dessert,-,whip,вип,0.0,,0.0,
roofing material,-,tile,tile,0.0,,0.0,
reader,a person who enjoys reading,bookworm,Библиофильство,1.0,,1.0,
cleaning implement,-,swab,тампон,0.0,,0.0,
petitioner,-,solicitor,юрист,0.0,,0.0,
ledge,a projecting ridge on a mountain or submerged under water,berm,берма,1.0,,1.0,
quad,(printing) a block of type without a raised letter; used for spacing between words or sentences,hair space,пространство для волос,1.0,,1.0,
deviation,a variation that deviates from the standard or norm,discrepancy,несоответствия,0.0,,0.0,
gable,the vertical triangular wall between the sloping ends of gable roof,bell gable,колокольня,1.0,,1.0,
dissenter,-,nonconformist,Нонконформизм,0.0,,0.0,
local anesthetic,-,procaine,NOVOKAIN,1.0,,1.0,
ambassador,a diplomat of the highest rank; accredited as representative from one country to another,ambassadress,ambassadress,0.0,,0.0,
repellent,a chemical substance that repels animals,insectifuge,insectifuge,1.0,,1.0,
anthology,a collection of selected literary passages,"divan,florilegium,omnibus","диван,флорилегий,омнибус",1.0,,1.0,
plant fiber,-,hemp,щенька,0.0,,0.0,
hominoid,a primate of the superfamily Hominoidea,"Aegyptopithecus,Algeripithecus minutus,proconsul","Aegyptopithecus,Algeripithecus minutus,проконсул",1.0,,1.0,
array,especially fine or decorative clothing,war paint,Warpaint,1.0,,1.0,
