parent,definition,children,translation,label
lowering,the act of causing to become less,tapering,труб,-1
bucket,a roughly cylindrical vessel that is open at the top,"cannikin,dinner pail,kibble,slop pail,wine bucket","канникин, ведро для ужина,киббл, ведро для нечистот, ведро для вина",-1
touch,a slight but appreciable amount,snuff,snuff,-1
detonator,a mechanical or electrical explosive device or a small amount of explosive; can be used to initiate the reaction of a disrupting explosive,blasting cap,дробеструйный колпачок,-1
excess,immoderation as a consequence of going beyond sufficient or permitted limits,"exorbitance,extravagance","непомерность,экстравагантность",-1
Atlantic salmon,found in northern coastal Atlantic waters or tributaries; adults do not die after spawning,landlocked salmon,не имеющий выхода к морю лосось,-1
effortfulness,the quality of requiring deliberate effort,arduousness,трудность,-1
ray,cartilaginous fishes having horizontally flattened bodies and enlarged winglike pectoral fins with gills on the underside; most swim by moving the pectoral fins,"electric ray,guitarfish","электрический луч,рыба-гитара",-1
warrior,-,guerrilla,Партизанская война,-1
hot pepper,any of various pungent capsicum fruits,tabasco,табаско,-1
cell,a device that delivers an electric current as the result of a chemical reaction,"electrolytic cell,fuel cell,solar cell,storage cell","электролитический элемент,топливный элемент,солнечный элемент, элемент хранения",-1
versicle,a short verse said or sung by a priest or minister in public worship and followed by a response from the congregation,sursum corda,sursum corda,-1
tubule,a small tube,"microtubule,nephron,seminiferous tubule,trachea,uveoscleral pathway,vasa efferentia","микротрубочки,нефрон,семенные канальцы,трахея,увеосклеральный путь,vasa efferentia",-1
lesson,a unit of instruction,"dance lesson,golf lesson,tennis lesson","урок танцев,гольфа,тенниса",-1
tartaric acid,an acid found in many fruits; used in soft drinks and confectionery and baking powder,racemic acid,рацемическая кислота,-1
Indian elephant,Asian elephant having smaller ears and tusks primarily in the male,white elephant,белый слон,-1
niggard,a selfish person who is unwilling to give or spend,pinchgut,pinchgut,-1
Saudi Arabian monetary unit,monetary unit in Saudi Arabia,qurush,qurush,-1
ineligibility,the quality or state of being ineligible,uninsurability,неуязвимость,-1
patriotism,love of country and willingness to sacrifice for it,"Americanism,chauvinism","Американизм,шовинизм",-1
life jacket,life preserver consisting of a sleeveless jacket of buoyant or inflatable design,Mae West,Мэй-Уэст,-1
headsail,any sail set forward of the foremast of a vessel,spinnaker,Spinnaker,-1
headsail,any sail set forward of the foremast of a vessel,spinnaker,Spinnaker,-1
family,a social unit living together,"broken home,nuclear family,extended family,foster family,foster home,menage a trois","разрушенный дом,нуклеарная семья,расширенная семья,приемная семья,приемный дом, управление троицей",-1
bandage,-,oblique bandage,косая повязка,-1
saying,-,idiom,идиома,-1
adoption,the act of accepting with approval; favorable reception,embrace,заключать в себе,-1
pincer,a hand tool for holding consisting of a compound lever for grasping,roach clip,зажим для тараканов,-1
connective tissue,-,tendon,SUKHOZHILIIA,-1
stinger,a sharp organ of offense or defense (as of a wasp or stingray or scorpion) often connected with a poison gland,aculeus,aculeus,-1
news agency,an agency to collects news reports for newspapers and distributes it electronically,syndicate,синдикат; консорциум,-1
ineligibility,the quality or state of being ineligible,uninsurability,неуязвимость,-1
clock,-,pendulum clock,напольные часы,-1
pubic hair,hair growing in the pubic area,minge,minge,-1
bagel,(Yiddish) glazed yeast-raised doughnut-shaped roll with hard crust,onion bagel,бублик с луком,-1
criticism,a written evaluation of a work of literature,"analysis,explication de texte,new criticism","анализ,экспликация de texte,новая критика",-1
promise,grounds for feeling hopeful about the future,rainbow,радуга,-1
antonym,"a word that expresses a meaning opposed to the meaning of another word, in which case the two words are antonyms of each other",direct antonym,прямой антоним,-1
blood vessel,-,vein,вена,-1
strike,a group's refusal to work in protest against low pay or bad work conditions,"sit-down,sympathy strike,walkout,wildcat strike","сидячая забастовка, забастовка сочувствия,забастовка, забастовка диких кошек",-1
skin diving,underwater swimming without any more breathing equipment than a snorkel,"scuba diving,snorkeling",Дайвинг ($) / сноркелинг,-1
medical care,-,therapy,терапия,-1
