,Synset,Hypernym
0,вычитка текста.n.1,выверить.n.1
1,вычитка текста.n.1,редактирование текста.n.1
2,гарпунная охота.n.1,метать.n.1
3,гарпунная охота.n.1,ловля добычи.n.1
4,гарпунная охота.n.1,охота.n.1
5,гарпун.n.1,метательное оружие.n.1
6,вытереться от носки.n.1,изменяться в цвете.n.1
7,вытереться от носки.n.1,износиться от употребления.n.1
8,вытечь.n.1,появиться.n.2
9,онемечивание.n.1,ассимиляция народа.n.1
10,гермафродит.n.1,живой организм.n.1
11,герц.n.1,единица частоты.n.1
12,японская гейша.n.1,японцы.n.1
13,японская гейша.n.1,женщина.n.1
14,японская гейша.n.1,танцор.n.1
15,гидра.n.1,полип.n.1
16,гидра.n.1,пресноводное животное.n.1
17,гильдия.n.1,общество.n.2
18,пулевая гильза.n.1,цилиндрический предмет.n.1
19,гипертрофия органа.n.1,увеличиться.n.1
20,гипербола.n.1,преувеличить.n.1
21,гипербола.n.1,стилистический прием.n.1
22,купол церкви.n.1,купол.n.1
23,биться.n.1,действие.n.1
24,боец.n.1,участник.n.1
25,боец.n.1,человек по роли.n.1
26,римский гладиатор.n.1,раб.n.1
27,римский гладиатор.n.1,боец.n.1
28,мировой.n.1,общий.n.1
29,мировой.n.1,масштаб.n.1
30,глазастый.n.1,черты лица.n.1
31,щекастый.n.1,круглолицый.n.1
32,круглолицый.n.1,черты лица.n.1
33,лобастый.n.1,черты лица.n.1
34,ушастый.n.1,черты лица.n.1
35,проглотить обиду.n.1,выслушать до конца.n.1
36,проглотить обиду.n.1,промолчать в ответ.n.1
37,дичать.n.1,измениться.n.1
38,глубина.n.1,место в пространстве.n.1
39,глубина.n.1,пространство.n.1
40,глубина.n.2,место в пространстве.n.1
41,глубина.n.2,пространство.n.1
42,глушить.n.1,ударить.n.1
43,преследование своей цели.n.1,стремление.n.1
44,преследование своей цели.n.1,достичь.n.1
45,яйцевидная форма.n.1,форма.n.1
46,яйцо насекомого.n.1,зародыш организма.n.1
47,иностранное юридическое лицо.n.1,юридическое лицо.n.1
48,иностранное юридическое лицо.n.1,иностранная организация.n.1
49,длинноногий.n.1,особенности телосложения.n.1
50,говорун.n.1,человек по характеру.n.1
51,говеть.n.1,поститься.n.1
52,гнилой.n.1,вредный.n.1
53,словообразовательное гнездо.n.1,совокупность.n.1
54,большеголовый.n.1,особенности телосложения.n.1
55,оконечность.n.1,край.n.1
56,оконечность.n.1,конец в пространстве.n.1
57,головка.n.1,выпуклость.n.1
58,головка.n.1,утолщение.n.1
59,головка.n.1,оконечность.n.1
60,голография.n.1,изобразить.n.1
61,обнажить.n.1,освободить.n.2
62,горбинка.n.1,выпуклость.n.1
63,горбыль.n.1,деревянная доска.n.1
64,певчая птица.n.1,птица.n.1
65,горлица.n.1,дикая птица.n.1
66,горка.n.1,шкаф.n.1
67,горловина одежды.n.1,вырез.n.1
68,горловина.n.1,отверстие.n.1
69,горловина.n.1,проход.n.1
70,сортировочная горка.n.1,железнодорожное сооружение.n.1
71,сортировка вагонов.n.1,сортировать.n.1
72,постороннее лицо.n.1,человек.n.1
73,гость.n.1,постороннее лицо.n.1
74,чужак.n.1,постороннее лицо.n.1
75,горячка.n.1,спешить.n.1
76,горячка.n.1,пребывать в состоянии.n.1
77,физические и юридические лица.n.1,субъект деятельности.n.1
78,исполнительный комитет.n.1,комитет.n.1
79,исполнительный комитет.n.1,орган исполнительной власти.n.1
80,градация.n.1,стадия.n.1
81,градация.n.1,этап процесса.n.1
82,градация.n.1,перейти в другое состояние.n.1
83,перейти в другое состояние.n.1,измениться.n.1
84,градина.n.1,зерно.n.1
85,грандиозный.n.1,огромный по размеру.n.1
86,грандиозный.n.1,величественный.n.1
87,испанский гранд.n.1,испанцы.n.1
88,испанский гранд.n.1,дворянский титул.n.1
89,испанский гранд.n.1,дворянин.n.1
90,гранка.n.1,корректурный оттиск.n.1
91,астрофизик.n.1,физик.n.1
92,графология.n.1,исследование.n.1
93,графология.n.1,учение.n.1
94,графолог.n.1,работник.n.1
95,нажиться.n.1,богатеть.n.1
96,грим актерский.n.1,покрытие.n.1
97,покрытие.n.1,слой.n.1
98,покрытие.n.1,покров.n.2
99,древесный гриб.n.1,нарост на поверхности.n.1
100,погрузиться с вещами.n.1,сесть в транспортное средство.n.1
101,гроза.n.1,причина явления.n.1
102,графство.n.1,административно-территориальная единица.n.1
103,вырост.n.1,выпуклость.n.1
104,гребень на голове.n.1,вырост.n.1
105,гребень на голове.n.1,место на теле.n.1
106,готовность к действию.n.1,согласие.n.2
107,готовность к действию.n.1,расположенный.n.1
108,грушевидный.n.1,форма.n.1
109,гусеничная лента.n.1,полотно.n.1
110,гусеничная лента.n.1,движитель.n.1
111,цепь.n.1,приспособление.n.1
112,цепь.n.1,деталь устройства.n.1
113,звено цепи.n.1,кольцо.n.2
114,полотно.n.1,деталь устройства.n.1
115,гулянье.n.1,празднество.n.1
116,гулянье.n.1,массовая акция.n.1
117,водитель большегрузного автомобиля.n.1,водитель грузовика.n.1
118,дамоклов меч.n.1,опасность.n.1
119,гуканье младенца.n.1,произнести.n.1
120,гуманитарий.n.1,научный работник.n.1
121,гуманизм.n.1,мировоззрение.n.1
122,гуманизм.n.1,человечный.n.1
123,гуманист.n.1,общественный деятель.n.1
124,гулкий по звуку.n.1,громкий по звуку.n.1
125,двойня.n.1,близнецы.n.1
126,двойник.n.1,человек.n.1
127,движитель.n.1,техническое устройство.n.1
128,датировать.n.1,изобразить.n.1
129,датировать.n.1,писать.n.1
130,датировать.n.1,указать.n.1
131,датировать.n.1,отметить.n.1
132,датчик.n.1,измерительный прибор.n.1
133,губка для мытья.n.1,приспособление.n.1
134,гряда гор.n.1,линия.n.2
135,умственно отсталый.n.1,психически больной.n.1
136,дебютант.n.1,неопытный человек.n.1
137,выпуклая форма.n.1,форма.n.1
138,вогнутая форма.n.1,форма.n.1
139,деверь.n.1,родственник-мужчина.n.1
140,деверь.n.1,родственник супруга.n.1
141,королевский двор.n.1,окружение.n.1
142,девятиэтажка.n.1,среднеэтажное здание.n.1
143,дегазация.n.1,удалить наружу.n.1
144,дегазация.n.1,обезвредить.n.1
145,дезавуирование.n.1,объявить.n.2
146,дезавуирование.n.1,освободить от обязанности.n.1
147,дезавуирование.n.1,дипломатическое действие.n.1
148,размножение делением.n.1,делиться на части.n.1
149,размножение делением.n.1,бесполое размножение.n.1
150,демагог.n.1,оратор.n.2
151,демагог.n.1,человек по характеру.n.1
152,делопроизводитель.n.1,офисный работник.n.1
153,финансовые результаты.n.1,показатель.n.1
154,равноправие граждан.n.1,равноправие.n.1
155,равноправие граждан.n.1,права граждан.n.1
156,экономическая депрессия.n.1,упадок.n.1
157,экономическая депрессия.n.1,спад производства.n.1
158,депонирование.n.1,действие.n.1
159,департамент органа власти.n.1,отдел организации.n.1
160,разложить.n.1,изменить.n.1
161,разложить.n.1,ослабить.n.1
162,эпиляция волос.n.1,удалить.n.2
163,эпиляция волос.n.1,вырвать.n.1
164,держава.n.1,предмет.n.1
165,держава.n.1,шар.n.2
166,держава.n.1,символ монархической власти.n.1
167,держатель ценных бумаг.n.1,владелец собственности.n.1
168,деревяшка.n.1,предмет.n.1
169,деревяшка.n.1,брусок.n.1
170,деревяшка.n.1,изделие.n.1
171,детектор.n.1,датчик.n.1
172,детектор.n.1,измерительный прибор.n.1
173,дерзать.n.1,стремление.n.1
174,цементный завод.n.1,завод.n.1
175,определение.n.1,формулировка.n.1
176,формулировка.n.1,положение.n.2
177,джигит.n.1,всадник.n.1
178,джигит.n.1,храбрец.n.1
179,джигит.n.1,кавказцы.n.1
180,джигитовка.n.1,верховая езда.n.1
181,неметь.n.1,утратить.n.1
182,неметь.n.1,клинический симптом.n.1
183,коченеть от холода.n.1,твердеть.n.1
184,коченеть от холода.n.1,замереть.n.1
185,коченеть от холода.n.1,мерзнуть от холода.n.1
186,коченеть от холода.n.1,отвердеть.n.1
187,коченеть от холода.n.1,неметь.n.1
188,чувствительность.n.1,способность.n.1
189,контрольный диктант.n.1,диктовать.n.1
190,контрольный диктант.n.1,контрольная работа.n.1
191,контрольный диктант.n.1,текст.n.1
192,дилогия.n.1,произведение искусства.n.1
193,трилогия.n.1,произведение искусства.n.1
194,дисквалификация спортсмена.n.1,спортивное наказание.n.1
195,туалетная бумага.n.1,предметы личной гигиены.n.1
196,туалетная бумага.n.1,бумага хозяйственного назначения.n.1
197,черный хлеб.n.1,хлеб.n.1
198,ржаной хлеб.n.1,черный хлеб.n.1
199,вареная колбаса.n.1,колбаса.n.1
200,вареная колбаса.n.1,вареное блюдо.n.1
201,документальная электросвязь.n.1,телекоммуникационная связь.n.1
202,дислокация войск.n.1,расположить.n.1
203,дифракция волн.n.1,обогнуть.n.2
204,дифракция волн.n.1,оптическое явление.n.1
205,дифракция волн.n.1,отклониться от маршрута.n.1
206,рассеять.n.1,ослабить.n.1
207,дифференциал.n.1,математическая функция.n.1
208,дисциплинировать.n.1,приучить.n.1
209,диспропорция.n.1,соотношение.n.1
210,диспропорция.n.1,несоответствие.n.1
211,диапазон изменений.n.1,спектр значений.n.1
212,длинные волны.n.1,радиоволна.n.1
213,доблестный.n.1,бесстрашие.n.1
214,доблестный.n.1,самоотверженный.n.1
215,добавление.n.1,составная часть.n.1
216,дно водного объекта.n.1,место в пространстве.n.1
217,дно водного объекта.n.1,слой.n.1
218,добреть.n.1,показать.n.1
219,добреть.n.1,поступок человека.n.1
220,злеть.n.1,изменение состояния.n.1
221,добродетель.n.1,черта характера.n.1
222,добродетель.n.1,положительное качество.n.1
223,доброжелатель.n.1,человек по роли.n.1
224,доброжелатель.n.1,человек.n.1
225,добровольный.n.1,необязательный для выполнения.n.1
226,довести до состояния.n.1,изменить состояние.n.1
227,отмерить.n.1,отделить часть от целого.n.1
228,дозировать.n.1,отмерить.n.1
229,дозатор.n.1,техническое устройство.n.1
230,умозаключение.n.1,вывод.n.1
231,доказать.n.1,мыслительный процесс.n.1
232,доказать.n.1,достичь.n.1
233,доказать.n.1,обосновать.n.1
234,доказать.n.1,ментальный процесс.n.1
235,долговязый.n.1,худой.n.1
236,долговязый.n.1,рослый.n.1
237,долговязый.n.1,нескладно сложенный.n.1
238,нескладно сложенный.n.1,некрасивый на вид.n.1
239,нескладно сложенный.n.1,телосложение.n.1
240,складный.n.1,телосложение.n.1
241,складный.n.1,пропорциональный.n.1
242,аммиачная селитра.n.1,селитра.n.1
243,суперфосфат.n.1,фосфатное удобрение.n.1
244,асбестоцемент.n.1,нерудные строительные материалы.n.1
245,асбестоцемент.n.1,огнеупорный материал.n.1
246,асбестоцементный лист.n.1,асбестоцемент.n.1
247,электрическая бритва.n.1,бритвенный прибор.n.1
248,электрическая бритва.n.1,бытовые электроприборы.n.1
249,морозильник.n.1,потребительские товары длительного пользования.n.1
250,морозильник.n.1,морозильное оборудование.n.1
251,лазерный луч.n.1,когерентное электромагнитное излучение.n.1
252,первичный рынок жилья.n.1,первичный рынок.n.1
253,первичный рынок жилья.n.1,рынок жилья.n.1
254,вторичный рынок жилья.n.1,вторичный рынок.n.1
255,вторичный рынок жилья.n.1,рынок жилья.n.1
256,зеленый чай.n.1,чай.n.1
257,черный чай.n.1,чай.n.1
258,тонизирующий напиток.n.1,безалкогольные напитки.n.1
259,байховый чай.n.1,чай.n.1
260,томатная паста.n.1,паста.n.1
261,томатная паста.n.1,пищевкусовые продукты.n.1
262,долото.n.1,ручной инструмент.n.1
263,домовый комитет.n.1,общественная организация.n.1
264,домохозяйка.n.1,жена.n.1
265,домохозяйка.n.1,безработный.n.1
266,переговорное устройство.n.1,телефонное оборудование.n.1
267,домофон.n.1,переговорное устройство.n.1
268,росинка.n.1,капля жидкости.n.1
269,дополнить.n.1,добавить.n.2
270,доставщик.n.1,работник.n.1
271,достичь степени.n.1,измениться.n.1
272,расти.n.1,развитие.n.1
273,расти.n.1,совершенствоваться.n.1
274,допечатать.n.1,добавить.n.2
275,допечатать.n.1,печатать.n.1
276,дом.n.1,жилое помещение.n.1
277,домосед.n.1,человек по характеру.n.1
278,досье документов.n.1,собрание.n.2
279,протянуть.n.1,выдвинуть вперед.n.1
280,драматизация произведения.n.1,переложить.n.1
281,драматизация произведения.n.1,инсценировка литературного произведения.n.1
282,драматизация ситуации.n.1,преувеличить.n.1
283,драма.n.1,неприятное событие.n.1
284,драматизм ситуации.n.1,тяжелый.n.3
285,слабак.n.1,человек.n.1
286,хиляк.n.1,слабак.n.1
287,рваный.n.1,поношенный.n.1
288,рваный.n.1,физическое свойство.n.1
289,драить.n.1,мыть от грязи.n.1
290,драить.n.1,натереть.n.1
291,драить.n.1,оттереть.n.1
292,оттереть.n.1,чистить.n.1
293,оттереть.n.1,стереть с поверхности.n.1
294,оттереть.n.1,счистить.n.1
295,задиристый.n.1,черта характера.n.1
296,драчливый.n.1,задиристый.n.1
297,драчун.n.1,задира.n.1
298,дрожь в теле.n.1,дрожать.n.1
299,дрожь в теле.n.1,физиологический процесс.n.1
300,дубовый лес.n.1,роща.n.1
301,дубовый лес.n.1,лиственный лес.n.1
302,дугообразная форма.n.1,форма.n.1
303,дублет.n.1,экземпляр.n.1
304,дубликат документа.n.1,копия документа.n.1
305,дубликат документа.n.1,экземпляр.n.1
306,дубликат документа.n.1,документ.n.1
307,дублетный выстрел.n.1,стрельба.n.1
308,дуплет.n.1,удар в бильярде.n.1
309,сумасбродный поступок.n.1,поступок человека.n.1
310,сумасбродный поступок.n.1,глупить.n.1
311,сумасброд.n.1,плохой человек.n.1
312,ужасный.n.1,неприятный.n.1
313,непоседа.n.1,несовершеннолетние дети.n.1
314,единомышленник.n.1,человек по взглядам.n.1
315,единомышленник.n.1,человек.n.1
316,соплеменник.n.1,земляк.n.1
