parent,definition,children,translation,label
self-pollination,fertilization by transfer of pollen from the anthers to the stigma of the same flower,cleistogamy,Клейстогамия,-1
gonadotropin,hormone secreted by the anterior pituitary gland and placenta; stimulates the gonads and controls reproductive activity,"follicle-stimulating hormone,human chorionic gonadotropin,luteinizing hormone,prolactin","фолликулостимулирующий гормон,хорионический гонадотропин человека,лютеинизирующий гормон,пролактин",-1
sugar,-,granulated sugar,сахарный песок,-1
mixture,-,suspension,суспензией,-1
rail technology,the activity of designing and constructing and operating railroads,magnetic levitation,магнитная левитация,-1
electromagnet,a temporary magnet made by coiling wire around an iron core; when current flows in the coil the iron becomes a magnet,magnetic head,Срок службы магнитной  головки,-1
naval officer,an officer in the navy,naval commander,командующий военно-морским флотом,-1
nursery,a child's room for a baby,day nursery,day-nursery,-1
sonnet,a verse form consisting of 14 lines with a fixed rhyme scheme,Shakespearean sonnet,Шекспировский сонет,-1
quad,(printing) a block of type without a raised letter; used for spacing between words or sentences,hair space,пространство для волос,-1
chaos,a state of extreme confusion and disorder,balagan,балаган,-1
worker,sterile member of a colony of social insects that forages for food and cares for the larvae,soldier,солдат,-1
reference book,-,wordbook,wordbook,-1
sweet pickle,pickle cured in brine and preserved in sugar and vinegar,bread and butter pickle,,-1
storage medium,a medium for storing information,magnetic storage medium,,-1
electromagnet,a temporary magnet made by coiling wire around an iron core; when current flows in the coil the iron becomes a magnet,magnetic head,Срок службы магнитной  головки,-1
hand shovel,-,spade,,-1
heavier-than-air craft,-,warplane,,-1
scale,an ordered reference standard,"Beaufort scale,logarithmic scale,Mercalli scale,Mohs scale,moment magnitude scale,Richter scale","Шкала Бофорта,логарифмическая шкала, шкала Меркалли, шкала Мооса, шкала величины момента, шкала Рихтера",-1
kidney disease,a disease affecting the kidneys,"nephrosclerosis,polycystic kidney disease,polyuria,renal insufficiency","нефросклероз,поликистоз почек,полиурия,почечная недостаточность",-1
antiferromagnetism,magnetic field creates parallel but opposing spins; varies with temperature,ferrimagnetism,ферримагнетизм,-1
mooring,(nautical) a line that holds an object (especially a boat) in place,headfast,headfast,-1
diffraction grating,optical device consisting of a surface with many parallel grooves in it; disperses a beam of light (or other electromagnetic radiation) into its wavelengths to produce its spectrum,echelon,Левый пеленг,-1
sole,lean flesh of any of several flatfish,lemon sole,,-1
necktie,-,bow tie,,-1
auxiliary verb,"a verb that combines with another verb in a verb phrase to help form tense, mood, voice, or condition of the verb it combines with",modal auxiliary verb,модальный вспомогательный глагол,-1
sailor,-,mariner,,-1
scientific instrument,-,magnifier,,-1
fish species,a species of fish,barramundi,,-1
dry unit,-,United States dry unit,,-1
game of chance,a game that involves gambling,"banking game,fantan,roulette",,-1
self-control,the trait of resolutely controlling your own behavior,"nerves,presence of mind",,-1
shading,graded markings that indicate light or shaded areas in a drawing or painting,hatch,люк,-1
carbonate,-,potassium carbonate,Карбонат калия,-1
calcium,a white metallic element that burns with a brilliant light; the fifth most abundant element in the earth's crust; an important component of most plants and animals,calcium ion,Кальций,-1
opportunity,-,occasion,. .,-1
packing,the enclosure of something in a package or box,bundling,интеграция,-1
lobster,flesh of a lobster,"American lobster,European lobster","Американский омар,европейский омар",-1
upper,piece of leather or synthetic material that forms the part of a shoe or boot above the sole that encases the foot,toe box,Лёгкая обувь,-1
negotiator,-,representative,представителем.,-1
