,Synset,Hypernym
0,aloha.n.01,reconocimiento.n.03
1,carbonero.n.01,repartidor.n.01
2,tetrafluoroetileno.n.01,fluorocarbono.n.01
3,leche_cruda.n.01,leche.n.01
4,atracador.n.01,ladrón.n.01
5,delincuente.n.01,ladrón.n.01
6,protector_solar.n.01,emoliente.n.03
7,protector_solar.n.01,ungüento.n.03
8,persona_non_grata.n.01,diplomático.n.01
9,corriente.n.03,desplazamiento.n.06
10,corriente.n.03,movimiento.n.06
11,corriente.n.03,traslado.n.06
12,asca.n.01,aparato_reproductor.n.01
13,asca.n.01,estructura_reproductiva.n.01
14,celda.n.01,cárcel.n.01
15,celda.n.01,talego.n.01
16,celda.n.01,trullo.n.01
17,imposición.n.01,control_social.n.01
18,barra.n.02,mostrador.n.01
19,incógnita.n.03,variable.n.04
20,gengivitis.n.01,inflamación.n.01
21,ulitis.n.01,inflamación.n.01
22,ahorro.n.04,acción.n.01
23,ahorro.n.04,acto.n.01
24,ahorro.n.04,hecho.n.01
25,planificación.n.02,diseño.n.01
26,cena.n.01,comida.n.01
27,comida.n.01,comida.n.01
28,escape.n.02,partida.n.01
29,escape.n.02,salida.n.01
30,historiador.n.01,erudito.n.01
31,historiador.n.01,estudioso.n.01
32,historiógrafo.n.01,erudito.n.01
33,historiógrafo.n.01,estudioso.n.01
34,agujero_para_poste.n.01,agujero.n.02
35,agujero_para_poste.n.01,cavidad.n.02
36,agujero_para_poste.n.01,hueco.n.02
37,agujero_para_poste.n.01,orificio.n.02
38,mosaico.n.06,exposición.n.01
39,mosaico.n.06,foto.n.01
40,mosaico.n.06,fotografía.n.01
41,facilidad.n.01,calidad.n.01
42,facilidad.n.01,cualidad.n.01
43,naturalidad.n.01,calidad.n.01
44,naturalidad.n.01,cualidad.n.01
45,simpleza.n.01,calidad.n.01
46,simpleza.n.01,cualidad.n.01
47,simplicidad.n.01,calidad.n.01
48,simplicidad.n.01,cualidad.n.01
49,neuropatía.n.01,patología.n.02
50,nariz_ganchuda.n.01,nariz.n.01
51,Gulo_Luscus.n.03,mamífero_mustélido.n.01
52,Gulo_Luscus.n.03,mustélido.n.01
53,carcayú.n.03,mamífero_mustélido.n.01
54,carcayú.n.03,mustélido.n.01
55,glotón.n.03,mamífero_mustélido.n.01
56,glotón.n.03,mustélido.n.01
57,gulo_gulo.n.03,mamífero_mustélido.n.01
58,gulo_gulo.n.03,mustélido.n.01
59,estructura_jerárquica.n.01,estructura_de_datos.n.01
60,lentinula_edodes.n.01,fungi.n.01
61,lentinula_edodes.n.01,hongo.n.01
62,nomenclatura.n.01,palabra.n.01
63,terminología.n.01,palabra.n.01
64,azitromicina.n.01,bactericida.n.01
65,Sodoma.n.01,lugar.n.01
66,hacienda.n.01,ejecutivo.n.01
67,adulterante.n.01,substancia.n.07
68,adulterante.n.01,sustancia.n.07
69,anchura.n.02,extensión.n.03
70,Gymnura.n.01,peces.n.01
71,género_Gymnura.n.01,peces.n.01
72,rey.n.09,figura.n.01
73,molécula.n.01,unidad.n.05
74,desaparición.n.04,aniquilación.n.02
75,desaparición.n.04,arrasamiento.n.02
76,desaparición.n.04,desintegración.n.02
77,erradicación.n.04,aniquilación.n.02
78,erradicación.n.04,arrasamiento.n.02
79,erradicación.n.04,desintegración.n.02
80,exterminación.n.04,aniquilación.n.02
81,exterminación.n.04,arrasamiento.n.02
82,exterminación.n.04,desintegración.n.02
83,exterminio.n.04,aniquilación.n.02
84,exterminio.n.04,arrasamiento.n.02
85,exterminio.n.04,desintegración.n.02
86,extinción.n.04,aniquilación.n.02
87,extinción.n.04,arrasamiento.n.02
88,extinción.n.04,desintegración.n.02
89,Termitidae.n.01,artrópodos.n.01
90,familia_Termitidae.n.01,artrópodos.n.01
91,ocho.n.01,dígito.n.01
92,barrister.n.01,abogado.n.01
93,barrister.n.01,jurista.n.01
94,barrister.n.01,letrado.n.01
95,barrister.n.01,picapleitos.n.01
96,lágrima.n.01,gota.n.02
97,educación.n.04,profesión.n.02
98,descubrimiento.n.02,descubrimiento.n.01
99,descubrimiento.n.02,divulgación.n.01
100,descubrimiento.n.02,revelación.n.01
101,hallazgo.n.02,descubrimiento.n.01
102,hallazgo.n.02,divulgación.n.01
103,hallazgo.n.02,revelación.n.01
104,Nucifraga.n.01,aves.n.01
105,género_Nucifraga.n.01,aves.n.01
106,narcolepsia.n.01,hipersomnia.n.01
107,narcolepsia.n.01,hipersomnia_primaria.n.01
108,narcolepsia.n.01,hipersomnio.n.01
109,Holandés_Errante.n.01,aparición.n.01
110,Holandés_Errante.n.01,fantasma.n.01
111,decoración.n.03,cambio_de_estado.n.01
112,ciprofloxacino.n.01,antibiótico.n.01
113,ciprofloxacino.n.01,droga_antibiótica.n.01
114,ciprofloxacino.n.01,medicamento_antibiótico.n.01
115,rutina_de_vaciado.n.01,rutina_de_servicio.n.01
116,rutina_de_vaciado.n.01,rutina_de_utilidad.n.01
117,qì.n.01,energía.n.05
118,qì.n.01,vitalidad.n.05
119,LIFO.n.01,lista.n.01
120,LIFO.n.01,repertorio.n.01
121,tabla.n.01,formación.n.01
122,tabla.n.01,orden.n.01
123,concepción.n.01,idea.n.01
124,concepción.n.01,pensamiento.n.01
125,concepto.n.01,idea.n.01
126,concepto.n.01,pensamiento.n.01
127,momento.n.03,etapa.n.01
128,momento.n.03,periodo.n.01
129,momento.n.03,período.n.01
130,tiempo.n.03,etapa.n.01
131,tiempo.n.03,periodo.n.01
132,tiempo.n.03,período.n.01
133,época.n.03,etapa.n.01
134,época.n.03,periodo.n.01
135,época.n.03,período.n.01
136,carta_astral.n.01,cuadro.n.01
137,carta_astral.n.01,tabla.n.01
138,transporte_express.n.03,embarque.n.05
139,transporte_express.n.03,transporte.n.05
140,transporte_urgente.n.03,embarque.n.05
141,transporte_urgente.n.03,transporte.n.05
142,imprenta.n.03,máquina.n.01
143,hidrólogo.n.01,geólogo.n.01
144,chorizo.n.01,salchicha.n.01
145,pesto.n.01,aderezo.n.01
146,pesto.n.01,salsa.n.01
147,suelo.n.02,tierra.n.02
148,tierra.n.02,tierra.n.02
149,T.n.04,carácter.n.02
150,T.n.04,letra.n.02
151,ylem.n.01,materia.n.03
152,ylem.n.01,sustancia.n.03
153,Loricata.n.01,animales.n.01
154,orden_Loricata.n.01,animales.n.01
155,pase.n.15,lanzamiento.n.01
156,Circaetus.n.01,aves.n.01
157,género_Circaetus.n.01,aves.n.01
158,maleza.n.02,sotobosque.n.01
159,quarterback.n.01,defensa.n.04
160,militar.n.01,oficial.n.01
161,oficial_de_ejército.n.01,oficial.n.01
162,regalo.n.01,partición.n.04
163,regalo.n.01,repartición.n.04
164,regalo.n.01,reparto.n.04
165,energía.n.02,interés.n.03
166,intensidad.n.02,interés.n.03
167,disco_óptico.n.01,dispositivo_de_memoria.n.01
168,creacionismo.n.01,doctrina.n.01
169,creacionismo.n.01,filosofía.n.01
170,grano.n.01,miaja.n.02
171,grano.n.01,partícula.n.02
172,grano.n.01,pizca.n.02
173,arponero.n.01,especialista.n.01
174,buen_gusto.n.01,elegancia.n.01
175,gazania.n.01,flor.n.01
176,tobera.n.01,canal.n.01
177,tobera.n.01,pico.n.01
178,roentgenio.n.01,elemento.n.01
179,roentgenio.n.01,elemento_químico.n.01
180,proxémica.n.01,ciencias_humanas.n.01
181,proxémica.n.01,ciencias_sociales.n.01
182,komondor.n.01,perro_pastor.n.01
183,telomerasa.n.01,enzima.n.01
184,carnalita.n.01,mineral.n.01
185,fracción_compleja.n.01,fracción.n.03
186,fracción_compleja.n.01,quebrado.n.03
