                    all_hyponyms  predict_multiple_hypernyms      mean
MRR                          NaN                    0.376571  0.359101
MAP                          NaN                    0.212859  0.202645
P@1                          NaN                    0.322000  0.288000
P@3                          NaN                    0.201889  0.197000
P@5                          NaN                    0.192267  0.185533
P@15                         NaN                    0.210725  0.199358
EnrichCorrectedMRR           NaN                    0.133240  0.126885
EnrichOriginalMRR            NaN                    0.123630  0.117766
R@1                          NaN                    0.094248  0.081991
R@5                          NaN                    0.171808  0.165589
R@10                         NaN                    0.204150  0.196182
