                    all_hyponyms  predict_multiple_hypernyms      mean
MRR                          NaN                    0.515892  0.484427
MAP                          NaN                    0.334378  0.338369
P@1                          NaN                    0.438000  0.358667
P@3                          NaN                    0.332111  0.327222
P@5                          NaN                    0.324811  0.318911
P@15                         NaN                    0.320718  0.344946
EnrichCorrectedMRR           NaN                    0.218376  0.211658
EnrichOriginalMRR            NaN                    0.189568  0.183010
R@1                          NaN                    0.132823  0.106450
R@5                          NaN                    0.292881  0.287679
R@10                         NaN                    0.320260  0.342000
