                    all_hyponyms  predict_multiple_hypernyms      mean
MRR                          NaN                    0.515892  0.515892
MAP                          NaN                    0.334378  0.334378
P@1                          NaN                    0.438000  0.438000
P@3                          NaN                    0.332111  0.332111
P@5                          NaN                    0.324811  0.324811
P@15                         NaN                    0.320718  0.320718
EnrichCorrectedMRR           NaN                    0.218376  0.218376
EnrichOriginalMRR            NaN                    0.189568  0.189568
R@1                          NaN                    0.132823  0.132823
R@5                          NaN                    0.292881  0.292881
R@10                         NaN                    0.320260  0.320260
