                    all_hyponyms  predict_multiple_hypernyms  predict_hypernym      mean
MRR                          NaN                    0.022706               0.0  0.022093
MAP                          NaN                    0.007910               0.0  0.007696
P@1                          NaN                    0.017472               0.0  0.017000
P@3                          NaN                    0.009421               0.0  0.009167
P@5                          NaN                    0.007160               0.0  0.006967
P@15                         NaN                    0.006493               0.0  0.006318
EnrichCorrectedMRR           NaN                    0.004244               0.0  0.004130
EnrichOriginalMRR            NaN                    0.004220               0.0  0.004106
R@1                          NaN                    0.003173               0.0  0.003087
R@5                          NaN                    0.005691               0.0  0.005538
R@10                         NaN                    0.006291               0.0  0.006121
