                    all_hyponyms  predict_multiple_hypernyms  predict_hypernym      mean
MRR                          NaN                    0.021397               0.0  0.020192
MAP                          NaN                    0.008401               0.0  0.008072
P@1                          NaN                    0.016444               0.0  0.014000
P@3                          NaN                    0.008736               0.0  0.009167
P@5                          NaN                    0.006869               0.0  0.006733
P@15                         NaN                    0.007693               0.0  0.007281
EnrichCorrectedMRR           NaN                    0.004894               0.0  0.004766
EnrichOriginalMRR            NaN                    0.004870               0.0  0.004734
R@1                          NaN                    0.003808               0.0  0.003503
R@5                          NaN                    0.005795               0.0  0.005778
R@10                         NaN                    0.007693               0.0  0.007281
