                    all_hyponyms  predict_multiple_hypernyms  predict_hypernym      mean
MRR                          NaN                    0.561237          0.121914  0.549375
MAP                          NaN                    0.326426          0.170370  0.322213
P@1                          NaN                    0.491264          0.111111  0.481000
P@3                          NaN                    0.362282          0.129630  0.356000
P@5                          NaN                    0.339157          0.185185  0.335000
P@15                         NaN                    0.283720          0.185185  0.281059
EnrichCorrectedMRR           NaN                    0.197198          0.121914  0.195165
EnrichOriginalMRR            NaN                    0.158838          0.121914  0.157841
R@1                          NaN                    0.106758          0.111111  0.106875
R@5                          NaN                    0.270391          0.185185  0.268090
R@10                         NaN                    0.281543          0.185185  0.278942
