                    all_hyponyms  predict_multiple_hypernyms      mean
MRR                          NaN                    0.729600  0.738179
MAP                          NaN                    0.393305  0.431526
P@1                          NaN                    0.660000  0.658000
P@3                          NaN                    0.520667  0.532333
P@5                          NaN                    0.434433  0.453833
P@15                         NaN                    0.291793  0.343114
EnrichCorrectedMRR           NaN                    0.230008  0.246021
EnrichOriginalMRR            NaN                    0.183422  0.192609
R@1                          NaN                    0.127997  0.123292
R@5                          NaN                    0.280781  0.291014
R@10                         NaN                    0.287713  0.336916
