                    all_hyponyms  predict_multiple_hypernyms      mean
MRR                          NaN                    0.729600  0.729600
MAP                          NaN                    0.393305  0.393305
P@1                          NaN                    0.660000  0.660000
P@3                          NaN                    0.520667  0.520667
P@5                          NaN                    0.434433  0.434433
P@15                         NaN                    0.291793  0.291793
EnrichCorrectedMRR           NaN                    0.230008  0.230008
EnrichOriginalMRR            NaN                    0.183422  0.183422
R@1                          NaN                    0.127997  0.127997
R@5                          NaN                    0.280781  0.280781
R@10                         NaN                    0.287713  0.287713
