                    all_hyponyms  predict_multiple_hypernyms      mean
MRR                          NaN                    0.421962  0.421962
MAP                          NaN                    0.198024  0.198024
P@1                          NaN                    0.380000  0.380000
P@3                          NaN                    0.210333  0.210333
P@5                          NaN                    0.196333  0.196333
P@15                         NaN                    0.161418  0.161418
EnrichCorrectedMRR           NaN                    0.110069  0.110069
EnrichOriginalMRR            NaN                    0.102725  0.102725
R@1                          NaN                    0.086251  0.086251
R@5                          NaN                    0.136949  0.136949
R@10                         NaN                    0.158542  0.158542
