                    all_hyponyms  predict_multiple_hypernyms      mean
MRR                          NaN                    0.426991  0.420314
MAP                          NaN                    0.245997  0.239490
P@1                          NaN                    0.374000  0.358000
P@3                          NaN                    0.264333  0.261000
P@5                          NaN                    0.232533  0.222100
P@15                         NaN                    0.214979  0.211189
EnrichCorrectedMRR           NaN                    0.118437  0.118413
EnrichOriginalMRR            NaN                    0.091741  0.091703
R@1                          NaN                    0.053253  0.051076
R@5                          NaN                    0.141041  0.135194
R@10                         NaN                    0.200189  0.193780
