                    all_hyponyms  predict_multiple_hypernyms      mean
MRR                          NaN                    0.426991  0.426991
MAP                          NaN                    0.245997  0.245997
P@1                          NaN                    0.374000  0.374000
P@3                          NaN                    0.264333  0.264333
P@5                          NaN                    0.232533  0.232533
P@15                         NaN                    0.214979  0.214979
EnrichCorrectedMRR           NaN                    0.118437  0.118437
EnrichOriginalMRR            NaN                    0.091741  0.091741
R@1                          NaN                    0.053253  0.053253
R@5                          NaN                    0.141041  0.141041
R@10                         NaN                    0.200189  0.200189
