                    all_hyponyms  predict_multiple_hypernyms      mean
MRR                          NaN                    0.752621  0.786306
MAP                          NaN                    0.586079  0.605777
P@1                          NaN                    0.668000  0.716000
P@3                          NaN                    0.664500  0.662333
P@5                          NaN                    0.654600  0.633533
P@15                         NaN                    0.491560  0.535292
EnrichCorrectedMRR           NaN                    0.357481  0.384366
EnrichOriginalMRR            NaN                    0.220519  0.236895
R@1                          NaN                    0.111495  0.120185
R@5                          NaN                    0.421051  0.400816
R@10                         NaN                    0.470442  0.501345
