                    all_hyponyms  predict_multiple_hypernyms      mean
MRR                          NaN                    0.752621  0.752621
MAP                          NaN                    0.586079  0.586079
P@1                          NaN                    0.668000  0.668000
P@3                          NaN                    0.664500  0.664500
P@5                          NaN                    0.654600  0.654600
P@15                         NaN                    0.491560  0.491560
EnrichCorrectedMRR           NaN                    0.357481  0.357481
EnrichOriginalMRR            NaN                    0.220519  0.220519
R@1                          NaN                    0.111495  0.111495
R@5                          NaN                    0.421051  0.421051
R@10                         NaN                    0.470442  0.470442
