                    all_hyponyms  predict_multiple_hypernyms      mean
MRR                          NaN                    0.443565  0.419868
MAP                          NaN                    0.249725  0.242808
P@1                          NaN                    0.382000  0.336000
P@3                          NaN                    0.273000  0.262333
P@5                          NaN                    0.229133  0.223067
P@15                         NaN                    0.219486  0.222101
EnrichCorrectedMRR           NaN                    0.122836  0.116422
EnrichOriginalMRR            NaN                    0.094845  0.090742
R@1                          NaN                    0.053491  0.045701
R@5                          NaN                    0.141000  0.137186
R@10                         NaN                    0.205380  0.204366
