                    all_hyponyms  predict_multiple_hypernyms      mean
MRR                          NaN                    0.443565  0.443565
MAP                          NaN                    0.249725  0.249725
P@1                          NaN                    0.382000  0.382000
P@3                          NaN                    0.273000  0.273000
P@5                          NaN                    0.229133  0.229133
P@15                         NaN                    0.219486  0.219486
EnrichCorrectedMRR           NaN                    0.122836  0.122836
EnrichOriginalMRR            NaN                    0.094845  0.094845
R@1                          NaN                    0.053491  0.053491
R@5                          NaN                    0.141000  0.141000
R@10                         NaN                    0.205380  0.205380
