                    all_hyponyms  predict_multiple_hypernyms      mean
MRR                          NaN                    0.315268  0.315268
MAP                          NaN                    0.188928  0.188928
P@1                          NaN                    0.223333  0.223333
P@3                          NaN                    0.187111  0.187111
P@5                          NaN                    0.182756  0.182756
P@15                         NaN                    0.185297  0.185297
EnrichCorrectedMRR           NaN                    0.112304  0.112304
EnrichOriginalMRR            NaN                    0.104050  0.104050
R@1                          NaN                    0.063981  0.063981
R@5                          NaN                    0.163755  0.163755
R@10                         NaN                    0.184439  0.184439
