                    all_hyponyms  predict_multiple_hypernyms      mean
MRR                          NaN                    0.374523  0.374523
MAP                          NaN                    0.236845  0.236845
P@1                          NaN                    0.329333  0.329333
P@3                          NaN                    0.207333  0.207333
P@5                          NaN                    0.205900  0.205900
P@15                         NaN                    0.246943  0.246943
EnrichCorrectedMRR           NaN                    0.130638  0.130638
EnrichOriginalMRR            NaN                    0.121413  0.121413
R@1                          NaN                    0.095394  0.095394
R@5                          NaN                    0.185030  0.185030
R@10                         NaN                    0.239049  0.239049
