                    all_hyponyms  predict_multiple_hypernyms      mean
MRR                          NaN                    0.380465  0.366305
MAP                          NaN                    0.220100  0.210663
P@1                          NaN                    0.325333  0.296667
P@3                          NaN                    0.202889  0.198222
P@5                          NaN                    0.195822  0.190111
P@15                         NaN                    0.220562  0.210430
EnrichCorrectedMRR           NaN                    0.134081  0.129295
EnrichOriginalMRR            NaN                    0.124165  0.119721
R@1                          NaN                    0.092989  0.082976
R@5                          NaN                    0.175005  0.169606
R@10                         NaN                    0.215776  0.207097
