                    all_hyponyms  predict_multiple_hypernyms      mean
MRR                          NaN                    0.380465  0.380465
MAP                          NaN                    0.220100  0.220100
P@1                          NaN                    0.325333  0.325333
P@3                          NaN                    0.202889  0.202889
P@5                          NaN                    0.195822  0.195822
P@15                         NaN                    0.220562  0.220562
EnrichCorrectedMRR           NaN                    0.134081  0.134081
EnrichOriginalMRR            NaN                    0.124165  0.124165
R@1                          NaN                    0.092989  0.092989
R@5                          NaN                    0.175005  0.175005
R@10                         NaN                    0.215776  0.215776
