                    all_hyponyms  predict_multiple_hypernyms      mean
MRR                          NaN                    0.526912  0.526912
MAP                          NaN                    0.348883  0.348883
P@1                          NaN                    0.433333  0.433333
P@3                          NaN                    0.346667  0.346667
P@5                          NaN                    0.325544  0.325544
P@15                         NaN                    0.349464  0.349464
EnrichCorrectedMRR           NaN                    0.234453  0.234453
EnrichOriginalMRR            NaN                    0.199962  0.199962
R@1                          NaN                    0.132131  0.132131
R@5                          NaN                    0.291082  0.291082
R@10                         NaN                    0.339502  0.339502
