                    all_hyponyms  predict_multiple_hypernyms      mean
MRR                          NaN                    0.543935  0.526912
MAP                          NaN                    0.354373  0.348883
P@1                          NaN                    0.466000  0.433333
P@3                          NaN                    0.349667  0.346667
P@5                          NaN                    0.326000  0.325544
P@15                         NaN                    0.353972  0.349464
EnrichCorrectedMRR           NaN                    0.240786  0.234453
EnrichOriginalMRR            NaN                    0.204837  0.199962
R@1                          NaN                    0.141508  0.132131
R@5                          NaN                    0.291518  0.291082
R@10                         NaN                    0.343853  0.339502
