                    all_hyponyms  predict_multiple_hypernyms      mean
MRR                          NaN                    0.543935  0.543935
MAP                          NaN                    0.354373  0.354373
P@1                          NaN                    0.466000  0.466000
P@3                          NaN                    0.349667  0.349667
P@5                          NaN                    0.326000  0.326000
P@15                         NaN                    0.353972  0.353972
EnrichCorrectedMRR           NaN                    0.240786  0.240786
EnrichOriginalMRR            NaN                    0.204837  0.204837
R@1                          NaN                    0.141508  0.141508
R@5                          NaN                    0.291518  0.291518
R@10                         NaN                    0.343853  0.343853
