                    all_hyponyms  predict_multiple_hypernyms      mean
MRR                          NaN                    0.430860  0.411371
MAP                          NaN                    0.203398  0.193962
P@1                          NaN                    0.386000  0.348000
P@3                          NaN                    0.214000  0.206333
P@5                          NaN                    0.199167  0.191267
P@15                         NaN                    0.169175  0.161842
EnrichCorrectedMRR           NaN                    0.112204  0.106445
EnrichOriginalMRR            NaN                    0.104811  0.099360
R@1                          NaN                    0.086852  0.075849
R@5                          NaN                    0.140478  0.132991
R@10                         NaN                    0.165707  0.159119
