                    all_hyponyms  predict_multiple_hypernyms      mean
MRR                          NaN                    0.430860  0.430860
MAP                          NaN                    0.203398  0.203398
P@1                          NaN                    0.386000  0.386000
P@3                          NaN                    0.214000  0.214000
P@5                          NaN                    0.199167  0.199167
P@15                         NaN                    0.169175  0.169175
EnrichCorrectedMRR           NaN                    0.112204  0.112204
EnrichOriginalMRR            NaN                    0.104811  0.104811
R@1                          NaN                    0.086852  0.086852
R@5                          NaN                    0.140478  0.140478
R@10                         NaN                    0.165707  0.165707
