                    all_hyponyms  predict_multiple_hypernyms      mean
MRR                          NaN                    0.753010  0.773193
MAP                          NaN                    0.410358  0.452044
P@1                          NaN                    0.690000  0.702000
P@3                          NaN                    0.545667  0.560000
P@5                          NaN                    0.453050  0.472100
P@15                         NaN                    0.304620  0.359273
EnrichCorrectedMRR           NaN                    0.238119  0.260124
EnrichOriginalMRR            NaN                    0.189653  0.204328
R@1                          NaN                    0.130496  0.135294
R@5                          NaN                    0.292795  0.306020
R@10                         NaN                    0.300455  0.352343
