                    all_hyponyms  predict_multiple_hypernyms      mean
MRR                          NaN                    0.753010  0.753010
MAP                          NaN                    0.410358  0.410358
P@1                          NaN                    0.690000  0.690000
P@3                          NaN                    0.545667  0.545667
P@5                          NaN                    0.453050  0.453050
P@15                         NaN                    0.304620  0.304620
EnrichCorrectedMRR           NaN                    0.238119  0.238119
EnrichOriginalMRR            NaN                    0.189653  0.189653
R@1                          NaN                    0.130496  0.130496
R@5                          NaN                    0.292795  0.292795
R@10                         NaN                    0.300455  0.300455
