                    all_hyponyms  predict_multiple_hypernyms      mean
MRR                          NaN                    0.773786  0.773786
MAP                          NaN                    0.577032  0.577032
P@1                          NaN                    0.698000  0.698000
P@3                          NaN                    0.667667  0.667667
P@5                          NaN                    0.635533  0.635533
P@15                         NaN                    0.474088  0.474088
EnrichCorrectedMRR           NaN                    0.373371  0.373371
EnrichOriginalMRR            NaN                    0.225712  0.225712
R@1                          NaN                    0.115919  0.115919
R@5                          NaN                    0.398299  0.398299
R@10                         NaN                    0.451934  0.451934
