                    all_hyponyms  predict_multiple_hypernyms      mean
MRR                          NaN                    0.806000  0.806000
MAP                          NaN                    0.618559  0.618559
P@1                          NaN                    0.742000  0.742000
P@3                          NaN                    0.678000  0.678000
P@5                          NaN                    0.639300  0.639300
P@15                         NaN                    0.544776  0.544776
EnrichCorrectedMRR           NaN                    0.398367  0.398367
EnrichOriginalMRR            NaN                    0.237649  0.237649
R@1                          NaN                    0.118208  0.118208
R@5                          NaN                    0.398096  0.398096
R@10                         NaN                    0.506145  0.506145
