exposure start time	the specific time at which a television or film production begins filming or broadcasting
exposure end time	The designated time at which an individual's period of potential contact or vulnerability to a particular situation or condition comes to an end.
concept unique identifier	a label or alphanumeric code used to uniquely identify a specific concept or idea in a system or database.
metathesaurus concept	A term used in the medical field to refer to a specific concept or meaning within the Metathesaurus, a comprehensive vocabulary database used in healthcare informatics.
umls metathesaurus	A large, multi-purpose database used for integrating biomedical vocabularies and providing a source of biomedical concepts and relationships.
blocking nose	the action of using one's hand or fingers to cover or obstruct the nostrils in order to prevent air or smells from entering.
canal lock	A chamber with gates at each end, used in waterway systems to raise or lower water levels and allow boats to pass through different elevations.
range encoding	a compression technique in which consecutive numbers within a specific range are encoded as a single code word.
pda computers	portable electronic devices that function as handheld computers, typically with features such as touch screens, internet connectivity, and various applications.
quadrature modulation	a method of modulating a carrier signal by combining two separate signals, one for amplitude modulation and one for phase modulation, resulting in the transmission of both amplitude and phase information simultaneously.
centisecond	one hundredth of a second
antheraea assama	A species of moth found in India and Southeast Asia, known for its large size and the production of silk fibers used in the textile industry.
litsea polyantha	A species of flowering plant native to Southeast Asia, commonly known as the Chinese May Tree, that produces small white flowers and is used in traditional medicine.
machilus bombycina	a type of evergreen tree native to East Asia, known for its silky bark and valued for its timber and medicinal properties.
posix threads	A set of programming interfaces in the POSIX standard that allows for multithreading in Unix-like operating systems.
resource starvation	a condition in which a system or entity lacks the necessary resources, such as food, water, or energy, to sustain its optimal functioning or survival.
thread tail	The loose end or remaining portion of a thread after it has been sewn or used.
program thread	A sequence of instructions or tasks within a computer program that can execute independently and concurrently with other threads.
super threading	The process of dividing a computer program or task into multiple threads for improved performance and efficiency.
digital video broadcasting	a standard for transmitting digital television signals over the airwaves, allowing for high-quality video and audio content to be received by compatible devices.
oma bcast	initiate a video call or broadcast with one's grandmother
correspondence courses	Courses or educational programs that are taken remotely through mail or online means, allowing students to study at their own pace without attending traditional in-person classes.
actual privacy	the state or condition of having true and undisturbed personal space or seclusion.
privacy level	the degree of protection and control over personal information and data that an individual or entity has the right to maintain.
wireless internet protocol	a set of rules and standards that govern the transmission of data over a wireless network.
mobile robot navigation	the process of guiding a robotic device to navigate and move autonomously in its environment.
claytronics	The field of study and development aimed at creating functional and programmable units that can assemble and disassemble themselves to form three-dimensional objects.
ubiquitous communicator	a device or technology that is widely available, used, or accessible for communication purposes in various locations or situations.
perl critic	A tool used in Perl programming to analyze code and provide recommendations or criticism for improving its quality and adherence to coding standards.
there s more than one way to do it	There are multiple approaches or methods to accomplish a task or achieve a goal.
cuda pinned memory	a feature in the programming language CUDA, which allows for faster access to memory by directly transferring data between the CPU and GPU without having to go through the host memory.
memory semantics	the study of how meaning and interpretation are encoded and represented in memory and cognition.
biosystems engineering	the application of engineering principles to analyze and design systems in biological and agricultural production, combining knowledge of biology, chemistry, and engineering.
cement spacer	A device used in construction to create consistent gaps or spacing between cemented objects, such as bricks or tiles.
cement spacers	small tools made of cement or a similar material used to create space or gaps between two objects, especially in construction or masonry.
insync adaptive traffic control system	An intelligent traffic control system that dynamically adjusts traffic signal timings based on real-time traffic conditions to improve traffic flow.
traffic policing	the practice of monitoring and regulating vehicular and pedestrian movement on roads to ensure compliance with laws and ensure safety.
gipps model	A mathematical model that describes the spread of infectious diseases within a population, taking into account factors such as population dynamics, transmission rates, and recovery rates.
cerebral bridging vein	a vein in the brain that connects different parts of the cerebral hemispheres and facilitates the flow of blood between them.
extended adaptive multi rate wideband	A telecommunication audio codec that allows for high-quality voice transmission over a wide range of network conditions, particularly suitable for mobile communication systems.
link awareness	The level of understanding or recognition one has regarding the connections or relationships between various pieces of information or concepts.
hypermedia software	A type of software that allows users to access and navigate through various types of media (such as text, images, audio, and video) in a non-linear and interactive manner.
adaptive educational hypermedia	A type of educational technology that personalizes learning experiences for individuals by dynamically adapting content and resources based on their unique needs, preferences, and learning styles.
clandestine humint asset recruiting	The secretive process of obtaining human intelligence assets for intelligence gathering purposes.
film processor	a machine, device, or person responsible for developing and processing photographic film to produce images.
x ray film processor	a machine used to develop and process x-ray films for medical imaging purposes.
extended superframe	A telecommunications term referring to a sequence of multiple superframes that are used to organize and transmit data packets in a synchronous digital hierarchy (SDH) network.
suicide mortality	The number of deaths resulting from deliberately self-inflicted actions.
suicide mortality rate	The rate at which individuals die by suicide within a specific population or time period.
ethyl dodecanoate	a chemical compound with the formula C14H28O2, commonly used as a food additive and flavoring agent.
