                    all_hyponyms  predict_hypernym      mean
MRR                          NaN          0.168957  0.168957
MAP                          NaN          0.326304  0.326304
P@1                          NaN          0.138095  0.138095
P@3                          NaN          0.258503  0.258503
P@5                          NaN          0.348299  0.348299
P@15                         NaN          0.364626  0.364626
EnrichCorrectedMRR           NaN          0.168957  0.168957
EnrichOriginalMRR            NaN          0.168957  0.168957
R@1                          NaN          0.138095  0.138095
R@5                          NaN          0.348299  0.348299
R@10                         NaN          0.364626  0.364626
