                    all_hyponyms  predict_hypernym  leafs_and_no_leafs  only_leafs_divided  only_leafs_all  only_child_leaf  simple_triplet_grandparent  simple_triplet_2parent      mean
MRR                     0.006470          0.033036            0.014130            0.001068        0.019470         0.001715                    0.017857                0.026596  0.014619
MAP                     0.005552          0.063828            0.008605            0.001709        0.015071         0.002675                    0.078095                0.048936  0.025443
P@1                     0.002813          0.020604            0.008696            0.000000        0.004545         0.001029                    0.000000                0.010638  0.007849
P@3                     0.004923          0.043956            0.007246            0.000000        0.015152         0.002058                    0.042857                0.042553  0.018053
P@5                     0.005263          0.064560            0.007754            0.002137        0.016818         0.002058                    0.057143                0.053191  0.025111
P@15                    0.006113          0.074176            0.008913            0.002137        0.016558         0.003086                    0.100000                0.053191  0.029511
EnrichCorrectedMRR      0.003148          0.033036            0.005648            0.000534        0.006867         0.001715                    0.017857                0.026596  0.012716
EnrichOriginalMRR       0.003148          0.033036            0.005648            0.000534        0.006867         0.001715                    0.017857                0.026596  0.012716
R@1                     0.001582          0.020604            0.004348            0.000000        0.001136         0.001029                    0.000000                0.010638  0.007162
R@5                     0.005123          0.064560            0.007140            0.002137        0.016558         0.002058                    0.057143                0.053191  0.025033
R@10                    0.006102          0.074176            0.008845            0.002137        0.016558         0.003086                    0.100000                0.053191  0.029504
